title	monthsales	cost	time
外卖小先生	427	配送费¥3.5	45+ 分钟
小兔子台湾茶（南白象店）	602	配送费¥2.5	36 分钟
好多肉汉堡（南柳店）	1171	配送费¥3	41 分钟
阿哟饭团烧	873	配送费¥4	35 分钟
大嘴炒年糕	380	配送费¥2	36 分钟
鱼娃羊肉粉	822	配送费¥2	28 分钟
外卖小先生	427	配送费¥3.5	45+ 分钟
外婆小屋	707	配送费¥1	37 分钟
金牌手抓饼	385	配送费¥3	29 分钟
忘不了铁板炒饭（南柳店）	589	配送费¥1	36 分钟
辣小豌	164	配送费¥2	
阿菲小吃	708	配送费¥2	30 分钟
聚缘饭店大学城店	231	配送费¥1	32 分钟
1号脆皮拌饭	115	配送费¥2	36 分钟
来壹份	402	配送费¥2	35 分钟
土耳其肉夹馍	702	配送费¥2	29 分钟
手工披萨(温大E区店)	517	配送费¥3	37 分钟
合家欢中式快餐店	392	配送费¥2	37 分钟
味撩便当	186	免配送费	37 分钟
温州人面馆	244	配送费¥3	34 分钟
七杯茶	122	配送费¥2	39 分钟
食不言便当	192	配送费¥2	38 分钟
杨氏麻辣烫	717	配送费¥1	40 分钟
麻辣香锅	144	配送费¥1	40 分钟
佳香基炸鸡汉堡（E区店）	229	配送费¥2	37 分钟
菜饭骨头汤	268	配送费¥1	
南京汤包王	1176	配送费¥2	36 分钟
温州瘦肉丸 上蔡店	555	配送费¥3.5	45+ 分钟
正新鸡排附一医店	242	配送费¥5	45+ 分钟
坐享启晨寿司	64	免配送费	36 分钟
粤仔油鸡饭	64	配送费¥3	
匠心悟饭	828	配送费¥4	45+ 分钟
烏煎道黑龍茶(茶山店)	223	配送费¥1	25 分钟
杨传老厨(梅泉店)	39	配送费¥2	37 分钟
南京汤包王	1176	配送费¥2	36 分钟
偶遇私房菜	137	配送费¥3.5	45+ 分钟
鲜香阁	247	配送费¥3.5	45+ 分钟
粥记甩饼(E区三楼店)	252	配送费¥1	
三毛特色煲（南柳店）	114	配送费¥3	
聚香阁	257	配送费¥3.5	45+ 分钟
正宗福建沙县小吃	141	配送费¥2.5	37 分钟
佰味轩中式餐厅	1349	配送费¥3	33 分钟
缙云烧饼	347	配送费¥1	36 分钟
小吃货	1144	配送费¥5	42 分钟
东北大饼	487	配送费¥2.5	39 分钟
九两果蔬鸡排	64	配送费¥3	34 分钟
卡普思(茶山店)	123	配送费¥3	30 分钟
稻香简餐(茶山店)	248	配送费¥2	37 分钟
杨传老厨(创荣广场店)	2	配送费¥2	
鲜膳便当	88	配送费¥2	36 分钟
平阳特色细粉干	186	配送费¥2	
绝味鸭脖	73	配送费¥2	36 分钟
烧饼羊肉汤	175	免配送费	31 分钟
暗黑料理	186	配送费¥1	45+ 分钟
平阳特色细粉干	186	配送费¥2	
绝味鸭脖	73	配送费¥2	36 分钟
大工厂loft餐厅	140	配送费¥3	30 分钟
暗黑料理	186	配送费¥1	45+ 分钟
哈尔滨特色饺子	82	配送费¥2	
苏姐肉饭	356	配送费¥2	43 分钟
幸福旋转小火锅	105	配送费¥2	30 分钟
苓记熟食店	2	配送费¥2	
米宝宝便当	285	配送费¥1	28 分钟
泉味源黄焖鸡米饭	327	免配送费	30 分钟
精武鸭头 上蔡店	279	配送费¥3.5	45 分钟
重庆鸡公煲(商务中心店)	109	配送费¥1	35 分钟
麻辣面对面	34	配送费¥3	
巨咖炸鸡	72	配送费¥3	34 分钟
布里斯班炸鸡店	11	配送费¥3	
金巴伦炸鸡汉堡	758	配送费¥2	30 分钟
香村木桶饭	170	配送费¥2	30 分钟
阿南特色广东肠粉	120	配送费¥3.5	45+ 分钟
太子养生火锅	6	配送费¥1	37 分钟
渝外有家	92	配送费¥2	30 分钟
福建沙县小吃(梅泉店)	127	配送费¥3	
永康鲜肉饼	12	配送费¥1	
阿杂西韩国料理	128	配送费¥3	
不时不食	95	配送费¥3	
永康鲜肉饼	12	配送费¥1	
不时不食	95	配送费¥3	
福建沙县小吃(茶山镇口店)	82	配送费¥3	39 分钟
辣妹子川菜馆	59	配送费¥3.5	45+ 分钟
馋小嘴	67	配送费¥2.5	27 分钟
手抓饼蛋包饭（小吃街店）	173	配送费¥2	29 分钟
周记面馆	132	配送费¥3	35 分钟
十里干锅	1	配送费¥2	
大芒人	116	配送费¥3	
黄焖鸡米饭炸酱面	68	配送费¥2	
阿凡佬鱼头王	89	配送费¥2	
豪咖炸鸡	28	配送费¥3	36 分钟
那壹年	124	配送费¥6	30 分钟
友家三鲜面	111	配送费¥1	
邻妹妹香酥焖肉饭	27	配送费¥3	
百合快餐	95	配送费¥3.5	45 分钟
桃马桃年糕料理餐厅	8	配送费¥6	
艾米便当	23	配送费¥3	33 分钟
秘制瓦罐	3	免配送费	
启凤饭店	48	配送费¥2.5	28 分钟
重庆酸辣粉天下第一粉	125	配送费¥2.5	29 分钟
玉饭碗中餐厅 附一医	73	配送费¥3.5	45 分钟
酸菜鱼馆 茶山店	65	配送费¥3	
重庆麻辣小面	108	配送费¥2.5	33 分钟
重庆麻辣小面	108	配送费¥2.5	33 分钟
玛琪朵	449	配送费¥3	30 分钟
丑狗饭店	73	配送费¥2.5	32 分钟
文泰农家庄	50	配送费¥3.5	45+ 分钟
东北佬师饺子	46	配送费¥2	
胖子缘肉蟹煲大学城店	69	配送费¥5	38 分钟
鑫乐坊	20	配送费¥3.5	45+ 分钟
学姐便当	13	配送费¥3	
阿俊炸鸡饭	51	配送费¥2	37 分钟
零食物语	14	配送费¥2	
中国兰州金诚牛肉拉面	320	配送费¥1	36 分钟
百味轩	43	配送费¥4	33 分钟
缤黎便当	115	配送费¥2	39 分钟
食善小吃	137	配送费¥2	
三脚猫便当	64	配送费¥2	
郭郭煲仔（南柳店）	61	配送费¥2	
零食总汇	38	免配送费	
乐口福美食坊	95	配送费¥2	
诸葛烤鱼	2	配送费¥5	
豪伙计量贩快餐	2	配送费¥3	
半兽人中华旋转小火锅	1	配送费¥3	
果燃好甜品	205	配送费¥3	30 分钟
星概念	406	配送费¥2	38 分钟
ancake法式西点工作室 茶山大学城C区店	920	免配送费	34 分钟
泡芙先生（茶山店）	94	配送费¥3	29 分钟
小芒人甜品	99	免配送费	36 分钟
桂源铺（茶山店）	234	配送费¥3	37 分钟
新时沏（商学院店）	36	免配送费	
哆可台湾泡沫牛乳茶	217	配送费¥3	30 分钟
梵茶(创荣商务广场店)	18	配送费¥3	37 分钟
地下铁	69	配送费¥1	36 分钟
凡糕	97	配送费¥3	35 分钟
加减茶饮茶山店	131	免配送费	
硕硕水果店	258	配送费¥2	44 分钟
伊米蛋糕（蟠凤北路店）	150	免配送费	38 分钟
张阿姨奶茶 （新一医店）	539	配送费¥3.5	45+ 分钟
古茗（南柳店）	141	免配送费	30 分钟
悠享家 茶山大学城	155	配送费¥2	27 分钟
新时沏 南柳店	284	免配送费	28 分钟
徐小包的奶茶店(茶山大学城店)	396	配送费¥1	37 分钟
百果香水果超市	706	配送费¥2	
麦兜甜品店 南柳店	477	免配送费	
肯德基宅急送（大学城店）	25	配送费¥9	40 分钟
益禾堂（南柳店）	198	配送费¥1	38 分钟
茶大圣(茶山店)	26	配送费¥3	35 分钟
PureCake手工烘焙工作室	109	配送费¥5	27 分钟
御台好茶坊	13	配送费¥3	
弥茶（温州茶山大学城店）	61	配送费¥2	
